year,dependency_ratio,diversity_index,proportion_group_a
2023,0.1,0.3046360973,0.9090909091
2024,0.1059236948,0.3157070822,0.9042215161
2025,0.1121982912,0.3270117041,0.899120245
2026,0.1188445755,0.3385403377,0.8937791914
2027,0.1258845654,0.3502818441,0.8881905221
2028,0.1333415828,0.3622234978,0.8823465186
2029,0.1412403312,0.3743509173,0.8762396251
2030,0.1496069773,0.3866480034,0.8698625006
2031,0.158469238,0.3990968837,0.8632080742
2032,0.167856472,0.4116778675,0.856269605
2033,0.1777997771,0.4243694106,0.8490407448
2034,0.1883320932,0.4371480935,0.8415156047
2035,0.1994883116,0.4499886133,0.8336888241
2036,0.2113053902,0.4628637915,0.8255556427
2037,0.2238224766,0.4757446,0.8171119742
2038,0.237081037,0.4886002058,0.8083544813
2039,0.251124994,0.501398037,0.7992806513
2040,0.2660008721,0.5141038706,0.7898888713
2041,0.2817579519,0.5266819435,0.7801785029
2042,0.298448433,0.5390950878,0.7701499533
2043,0.3161276073,0.5513048909,0.7598047442
2044,0.3348540418,0.5632718801,0.749145576
2045,0.3546897732,0.5749557315,0.7381763853
2046,0.3757005128,0.5863155037,0.7269023968
2047,0.3979558645,0.5973098929,0.7153301656
2048,0.4215295552,0.6078975099,0.7034676109
2049,0.4464996795,0.6180371746,0.6913240384
2050,0.4729489577,0.627688227,0.6789101515
2051,0.5009650104,0.6368108502,0.6662380489
2052,0.5306406486,0.6453664017,0.6533212096
2053,0.5620741809,0.653317749,0.640174463
2054,0.5953697399,0.6606296046,0.6268139448
2055,0.6306376261,0.6672688558,0.6132570376
2056,0.6679946742,0.6732048832,0.5995222979
2057,0.7075646398,0.6784098637,0.5856293675
2058,0.7494786095,0.682859053,0.5715988721
2059,0.7938754347,0.6865310413,0.5574523072
2060,0.8409021924,0.689407979,0.5432119121
2061,0.8907146717,0.6914757674,0.5289005343
2062,0.9434778902,0.6927242113,0.5145414852
2063,0.9993666407,0.6931471304,0.50015839
2064,1.05856607,0.6927424266,0.4857750327
2065,1.121272293,0.6915121075,0.4714151989
2066,1.187693042,0.6894622644,0.457102519
2067,1.258048352,0.686603005,0.442860313
2068,1.332571297,0.6829483435,0.4287114402
2069,1.411508753,0.6785160489,0.4146781548
2070,1.495122223,0.6733274549,0.40078197
2071,1.583688701,0.6674072351,0.3870435319
2072,1.677501585,0.6607831477,0.3734825053
2073,1.776871659,0.6534857536,0.3601174713
2074,1.882128113,0.6455481142,0.3469658394
2075,1.993619638,0.6370054726,0.3340437734
2076,2.11171558,0.6278949242,0.321366132
2077,2.236807166,0.6182550818,0.3089464243
2078,2.369308795,0.6081257402,0.2967967797
2079,2.509659416,0.5975475443,0.2849279321
2080,2.65832398,0.586561666,0.2733492182
2081,2.815794979,0.5752094934,0.2620685874
2082,2.982594079,0.563532335,0.2510926246
2083,3.159273849,0.5515711431,0.2404265832
2084,3.346419589,0.5393662578,0.2300744278
2085,3.544651271,0.5269571729,0.2200388853
2086,3.754625594,0.5143823264,0.2103215028
2087,3.977038154,0.5016789154,0.2009227113
2088,4.212625755,0.4888827355,0.1918418945
2089,4.462168847,0.4760280448,0.1830774602
2090,4.72649411,0.4631474528,0.174626915
2091,5.006477195,0.4502718314,0.1664869386
2092,5.303045624,0.437430249,0.1586534605
2093,5.61718186,0.4246499252,0.1511217345
2094,5.949926569,0.4119562044,0.1438864123
2095,6.302382058,0.3993725475,0.136941616
2096,6.675715935,0.3869205398,0.1302810068
2097,7.071164972,0.3746199124,0.1238978516
2098,7.490039202,0.3624885774,0.1177850863
2099,7.933726263,0.3505426724,0.1119353751
2100,8.403695992,0.3387966162,0.1063411664
2101,8.901505292,0.3272631699,0.1009947448
2102,9.428803297,0.3159535066,0.09588827899
2103,9.987336825,0.3048772842,0.09101386586
2104,10.57895618,0.2940427227,0.08636357068
2105,11.20562125,0.2834566836,0.08192946344
2106,11.86940805,0.2731247511,0.07770365164
2107,12.57251556,0.2630513139,0.07367830937
2108,13.317273,0.2532396459,0.06984570314
2109,14.10614761,0.2436919875,0.06619821452
2110,14.94175274,0.2344096237,0.0627283597
2111,15.82685657,0.2253929619,0.05942880633
2112,16.76439124,0.2166416057,0.05629238776
2113,17.75746261,0.2081544269,0.0533121148
2114,18.8093605,0.1999296345,0.05048118541
2115,19.9235696,0.1919648403,0.04779299226
2116,21.10378105,0.1842571209,0.04524112855
2117,22.35390463,0.1768030769,0.04281939212
2118,23.67808171,0.1695988883,0.04052178819
2119,25.080699,0.1626403664,0.03834253062
2120,26.56640306,0.1559230027,0.03627604218
2121,28.14011569,0.1494420141,0.03431695367
2122,29.80705025,0.143192385,0.03246010221
2123,31.57272893,0.137168906,0.03070052872
