year,dependency_ratio,diversity_index,proportion_group_a
2023,0.2222222222,0.4741393131,0.8181818182
2024,0.225085343,0.4770030865,0.8162696629
2025,0.2279853524,0.4798654658,0.814341961
2026,0.2308681543,0.4826733027,0.8124347002
2027,0.2337338175,0.4854279462,0.8105476123
2028,0.2365824343,0.4881307246,0.8086804181
2029,0.2394141199,0.4907829437,0.8068328285
2030,0.2422290103,0.4933858867,0.8050045456
2031,0.2450272614,0.4959408131,0.8031952641
2032,0.2478090476,0.4984489584,0.8014046716
2033,0.2505745606,0.5009115338,0.7996324502
2034,0.2533240079,0.5033297254,0.797878277
2035,0.2560576123,0.5057046943,0.7961418252
2036,0.2587756101,0.5080375765,0.7944227645
2037,0.2614782505,0.5103294824,0.792720762
2038,0.2641657944,0.5125814972,0.7910354832
2039,0.2668385135,0.5147946807,0.789366592
2040,0.2694966894,0.5169700676,0.7877137517
2041,0.2721406126,0.5191086671,0.7860766255
2042,0.2747705818,0.5212114638,0.784454877
2043,0.277386903,0.5232794175,0.7828481705
2044,0.2799898888,0.5253134634,0.7812561714
2045,0.2825798576,0.5273145125,0.7796785471
2046,0.2851571331,0.5292834521,0.7781149668
2047,0.2877220435,0.5312211457,0.776565102
2048,0.2902749207,0.5331284338,0.7750286268
2049,0.2928161002,0.5350061339,0.7735052185
2050,0.2953459202,0.5368550412,0.7719945571
2051,0.2978647211,0.5386759287,0.7704963266
2052,0.3003728452,0.5404695479,0.769010214
2053,0.3028706361,0.5422366289,0.7675359106
2054,0.3053584382,0.5439778813,0.7660731112
2055,0.3078365965,0.545693994,0.7646215152
2056,0.3103054561,0.5473856361,0.7631808258
2057,0.3127653619,0.5490534573,0.7617507508
2058,0.3152166582,0.5506980881,0.7603310023
2059,0.3176596885,0.5523201403,0.7589212972
2060,0.320094795,0.5539202077,0.7575213566
2061,0.3225223188,0.5554988663,0.7561309067
2062,0.3249425989,0.5570566746,0.7547496781
2063,0.3273559729,0.5585941743,0.7533774062
2064,0.3297627761,0.5601118906,0.7520138313
2065,0.3321633413,0.5616103327,0.7506586985
2066,0.3345579993,0.5630899939,0.7493117575
2067,0.336947078,0.5645513525,0.747972763
2068,0.3393309026,0.5659948719,0.7466414745
2069,0.3417097955,0.5674210009,0.7453176562
2070,0.3440840758,0.5688301743,0.744001077
2071,0.34645406,0.5702228131,0.7426915108
2072,0.3488200609,0.5715993253,0.7413887359
2073,0.3511823884,0.5729601054,0.7400925357
2074,0.3535413487,0.5743055359,0.7388026978
2075,0.3558972447,0.5756359865,0.7375190147
2076,0.358250376,0.5769518152,0.7362412834
2077,0.3606010384,0.5782533687,0.7349693053
2078,0.3629495243,0.5795409819,0.7337028864
2079,0.3652961224,0.5808149793,0.732441837
2080,0.3676411179,0.5820756743,0.7311859719
2081,0.3699847921,0.5833233705,0.72993511
2082,0.372327423,0.584558361,0.7286890747
2083,0.3746692846,0.5857809294,0.7274476932
2084,0.3770106476,0.58699135,0.7262107971
2085,0.3793517786,0.5881898877,0.724978222
2086,0.3816929409,0.5893767986,0.7237498075
2087,0.3840343941,0.5905523302,0.722525397
2088,0.386376394,0.5917167215,0.7213048378
2089,0.3887191931,0.5928702035,0.720087981
2090,0.3910630401,0.5940129993,0.7188746816
2091,0.3934081801,0.5951453243,0.7176647979
2092,0.395754855,0.5962673865,0.7164581921
2093,0.3981033029,0.5973793867,0.7152547297
2094,0.4004537586,0.5984815187,0.7140542798
2095,0.4028064535,0.5995739695,0.7128567148
2096,0.4051616155,0.6006569197,0.7116619106
2097,0.4075194694,0.6017305434,0.7104697461
2098,0.4098802364,0.6027950086,0.7092801035
2099,0.4122441348,0.6038504771,0.7080928682
2100,0.4146113795,0.6048971051,0.7069079286
2101,0.4169821821,0.6059350433,0.7057251761
2102,0.4193567515,0.6069644367,0.704544505
2103,0.4217352933,0.607985425,0.7033658127
2104,0.4241180101,0.6089981431,0.702188999
2105,0.4265051015,0.6100027205,0.7010139669
2106,0.4288967642,0.6109992824,0.6998406218
2107,0.4312931924,0.6119879488,0.6986688719
2108,0.4336945769,0.6129688356,0.6974986278
2109,0.4361011062,0.6139420542,0.6963298028
2110,0.4385129658,0.6149077117,0.6951623126
2111,0.440930339,0.6158659111,0.6939960753
2112,0.4433534059,0.6168167515,0.6928310114
2113,0.4457823445,0.6177603281,0.6916670437
2114,0.4482173302,0.6186967324,0.6905040971
2115,0.4506585358,0.6196260523,0.689342099
2116,0.4531061319,0.6205483722,0.6881809787
2117,0.4555602867,0.6214637731,0.6870206677
2118,0.4580211661,0.6223723326,0.6858610995
2119,0.4604889337,0.6232741254,0.6847022096
2120,0.4629637509,0.6241692229,0.6835439356
2121,0.4654457773,0.6250576935,0.6823862169
2122,0.4679351698,0.625939603,0.6812289947
2123,0.4704320838,0.6268150141,0.6800722121
