year,group_a,group_b,total_population
2023,45000000,10000000,55000000
2024,45405000,10220000,55625000
2025,45813645,10444840,56258485
2026,46231465.44,10673373.1,56904838.54
2027,46658477.75,10905664.12,57564141.87
2028,47094702.23,11141779.3,58236481.53
2029,47540162.95,11381786.27,58921949.23
2030,47994887.65,11625754.13,59620641.78
2031,48458907.6,11873753.42,60332661.02
2032,48932257.53,12125856.14,61058113.67
2033,49414975.55,12382135.78,61797111.34
2034,49907103.04,12642667.37,62549770.4
2035,50408684.57,12907527.41,63316211.98
2036,50919767.86,13176793.99,64096561.85
2037,51440403.67,13450546.76,64890950.43
2038,51970645.78,13728866.93,65699512.71
2039,52510550.88,14011837.34,66522388.22
2040,53060178.57,14299542.46,67359721.03
2041,53619591.26,14592068.41,68211659.67
2042,54188854.15,14889502.98,69078357.13
2043,54768035.18,15191935.66,69959970.85
2044,55357205.01,15499457.68,70856662.69
2045,55956436.94,15812161.98,71768598.92
2046,56565806.9,16130143.33,72695950.23
2047,57185393.43,16453498.25,73638891.68
2048,57815277.63,16782325.13,74597602.76
2049,58455543.16,17116724.18,75572267.34
2050,59106276.18,17456797.53,76563073.71
2051,59767565.36,17802649.19,77570214.55
2052,60439501.86,18154385.14,78593886.99
2053,61122179.28,18512113.32,79634292.6
2054,61815693.69,18875943.68,80691637.37
2055,62520143.59,19245988.21,81766131.8
2056,63235629.9,19622360.98,82857990.87
2057,63962255.96,20005178.13,83967434.1
2058,64700127.53,20394557.99,85094685.52
2059,65449352.77,20790621.01,86239973.78
2060,66210042.21,21193489.89,87403532.1
2061,66982308.82,21603289.56,88585598.37
2062,67766267.93,22020147.22,89786415.15
2063,68562037.29,22444192.42,91006229.71
2064,69369737.02,22875557.05,92245294.07
2065,70189489.67,23314375.41,93503865.08
2066,71021420.16,23760784.24,94782204.4
2067,71865655.85,24214922.75,96080578.6
2068,72722326.48,24676932.69,97399259.17
2069,73591564.25,25146958.37,98738522.61
2070,74473503.74,25625146.71,100098650.5
2071,75368282.02,26111647.3,101479929.3
2072,76276038.57,26606612.42,102882651
2073,77196915.36,27110197.11,104307112.5
2074,78131056.81,27622559.2,105753616
2075,79078609.84,28143859.36,107222469.2
2076,80039723.85,28674261.17,108713985
2077,81014550.79,29213931.14,110228481.9
2078,82003245.12,29763038.81,111766283.9
2079,83005963.84,30321756.73,113327720.6
2080,84022866.53,30890260.58,114913127.1
2081,85054115.35,31468729.19,116522844.5
2082,86099875.06,32057344.6,118157219.7
2083,87160313.05,32656292.14,119816605.2
2084,88235599.35,33265760.45,121501359.8
2085,89325906.65,33885941.56,123211848.2
2086,90431410.34,34517030.96,124948441.3
2087,91552288.5,35159227.64,126711516.1
2088,92688721.96,35812734.16,128501456.1
2089,93840894.32,36477756.72,130318651
2090,95008991.93,37154505.22,132163497.1
2091,96193203.97,37843193.32,134036397.3
2092,97393722.47,38544038.51,135937761
2093,98610742.28,39257262.21,137868004.5
2094,99844461.19,39983089.76,139827551
2095,101095079.9,40721750.59,141816830.5
2096,102362802,41473478.22,143836280.2
2097,103647834.1,42238510.35,145886344.4
2098,104950385.9,43017088.97,147967474.8
2099,106270669.9,43809460.38,150080130.3
2100,107608902,44615875.32,152224777.4
2101,108965301,45436589,154401890
2102,110340088.9,46271861.23,156611950.1
2103,111733490.7,47121956.46,158855447.1
2104,113145734.8,47987143.91,161132878.7
2105,114577052.9,48867697.59,163444750.5
2106,116027679.8,49763896.44,165791576.3
2107,117497853.7,50676024.41,168173878.1
2108,118987816.1,51604370.54,170592186.6
2109,120497811.9,52549229.04,173047040.9
2110,122028089.4,53510899.41,175538988.8
2111,123578900.5,54489686.5,178068587
2112,125150500.5,55485900.66,180636401.2
2113,126743148.3,56499857.79,183243006.1
2114,128357106.2,57531879.44,185888985.6
2115,129992640.3,58582292.95,188574933.3
2116,131650020.5,59651431.53,191301452
2117,133329520,60739634.36,194069154.4
2118,135031416.2,61847246.71,196878662.9
2119,136755990.1,62974620.03,199730610.1
2120,138503526.4,64122112.1,202625638.5
2121,140274314,65290087.11,205564401.1
2122,142068645.5,66478915.78,208547561.3
2123,143886817.7,67688975.47,211575793.2
